job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-4_sample-1__model.cif,7.71,4.23,31.77
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-4_sample-2__model.cif,7.69,4.21,32.39
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-4_sample-3__model.cif,7.69,4.16,31.1
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-4_sample-4__model.cif,7.6,4.14,32.01
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-5_sample-0__model.cif,7.52,4.13,31.88
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-5_sample-1__model.cif,7.74,4.19,31.16
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-5_sample-2__model.cif,7.65,4.14,32.32
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-5_sample-3__model.cif,7.69,4.2,31.47
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-5_sample-4__model.cif,7.58,4.21,30.55
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-6_sample-0__model.cif,7.69,4.21,30.26
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-6_sample-1__model.cif,7.68,4.18,31.88
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-6_sample-2__model.cif,7.76,4.17,30.31
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-6_sample-3__model.cif,7.63,4.11,31.78
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-6_sample-4__model.cif,7.64,4.25,30.9
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-7_sample-0__model.cif,7.75,4.24,31.8
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-7_sample-1__model.cif,7.62,4.23,32.08
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-7_sample-2__model.cif,7.65,4.25,30.4
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-7_sample-3__model.cif,7.64,4.21,31.42
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-7_sample-4__model.cif,7.52,4.23,32.2
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-8_sample-0__model.cif,7.76,4.28,30.88
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-8_sample-1__model.cif,7.66,4.16,31.29
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-8_sample-2__model.cif,7.67,4.1,31.04
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-8_sample-3__model.cif,7.59,4.14,32.29
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-8_sample-4__model.cif,7.63,4.19,32.6
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-9_sample-0__model.cif,7.58,4.08,31.87
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-9_sample-1__model.cif,7.71,4.26,32.49
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-9_sample-2__model.cif,7.61,4.18,31.95
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-9_sample-3__model.cif,7.57,4.08,31.91
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-9_sample-4__model.cif,7.69,4.15,31.85
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-10_sample-0__model.cif,4.8,4.58,34.09
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-10_sample-1__model.cif,4.54,4.67,35.73
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-10_sample-2__model.cif,4.65,4.61,34.1
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-10_sample-3__model.cif,4.66,4.58,34.13
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-10_sample-4__model.cif,4.55,4.54,33.9
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-11_sample-0__model.cif,4.71,4.65,34.25
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-11_sample-1__model.cif,4.5,4.61,35.57
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-11_sample-2__model.cif,4.77,4.74,35.83
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-11_sample-3__model.cif,4.48,4.61,33.99
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-11_sample-4__model.cif,4.57,4.66,35.51
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-12_sample-0__model.cif,4.54,4.68,35.82
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-12_sample-1__model.cif,4.55,4.59,35.91
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-12_sample-2__model.cif,4.56,4.53,35.49
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-12_sample-3__model.cif,4.31,4.7,33.72
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-12_sample-4__model.cif,4.52,4.61,35.53
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-13_sample-0__model.cif,4.6,4.59,35.89
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-13_sample-1__model.cif,4.56,4.62,35.8
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-13_sample-2__model.cif,4.78,4.72,35.22
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-13_sample-3__model.cif,4.78,4.64,34.23
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-13_sample-4__model.cif,4.68,4.7,34.2
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-14_sample-0__model.cif,4.56,4.56,35.78
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-14_sample-1__model.cif,4.8,4.65,35.47
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-14_sample-2__model.cif,4.71,4.7,35.75
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-14_sample-3__model.cif,4.82,4.71,34.01
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-14_sample-4__model.cif,4.59,4.58,35.51
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-15_sample-0__model.cif,4.49,4.63,33.97
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-15_sample-1__model.cif,4.48,4.62,35.81
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-15_sample-2__model.cif,4.44,4.62,34.08
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-15_sample-3__model.cif,4.62,4.61,35.55
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-15_sample-4__model.cif,4.58,4.64,35.84
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-16_sample-0__model.cif,4.53,4.61,35.68
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-16_sample-1__model.cif,4.28,4.67,35.87
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-16_sample-2__model.cif,4.4,4.61,33.86
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-16_sample-3__model.cif,4.75,4.69,33.94
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-16_sample-4__model.cif,4.71,4.62,35.73
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-17_sample-0__model.cif,4.65,4.61,33.92
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-17_sample-1__model.cif,4.48,4.57,34.04
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-17_sample-2__model.cif,4.43,4.63,34.23
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-17_sample-3__model.cif,4.25,4.61,35.6
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-17_sample-4__model.cif,4.71,4.63,33.97
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-18_sample-0__model.cif,4.86,4.68,33.61
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-18_sample-1__model.cif,4.65,4.65,33.91
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-18_sample-2__model.cif,4.61,4.65,35.67
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-18_sample-3__model.cif,4.55,4.55,34.0
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-18_sample-4__model.cif,4.55,4.6,33.94
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-19_sample-0__model.cif,4.68,4.72,35.84
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-19_sample-1__model.cif,4.76,4.67,35.87
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-19_sample-2__model.cif,4.59,4.68,35.47
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-19_sample-3__model.cif,4.71,4.68,34.04
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-19_sample-4__model.cif,4.8,4.65,34.2
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-1_sample-0__model.cif,4.73,4.66,34.03
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-1_sample-1__model.cif,4.66,4.61,35.86
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-1_sample-2__model.cif,4.64,4.6,35.52
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-1_sample-3__model.cif,4.68,4.64,35.65
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-1_sample-4__model.cif,4.43,4.54,35.59
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-20_sample-0__model.cif,4.59,4.72,35.64
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-20_sample-1__model.cif,4.76,4.61,35.79
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-20_sample-2__model.cif,4.66,4.56,34.21
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-20_sample-3__model.cif,4.45,4.61,35.61
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-20_sample-4__model.cif,4.77,4.69,35.61
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-21_sample-0__model.cif,4.64,4.59,35.65
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-21_sample-1__model.cif,4.67,4.66,34.03
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-21_sample-2__model.cif,4.71,4.64,34.36
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-21_sample-3__model.cif,4.49,4.6,35.53
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-21_sample-4__model.cif,4.47,4.59,33.91
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-22_sample-0__model.cif,4.97,4.7,35.33
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-22_sample-1__model.cif,4.81,4.61,35.51
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-22_sample-2__model.cif,4.71,4.67,34.06
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-22_sample-3__model.cif,4.66,4.65,34.52
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-22_sample-4__model.cif,4.42,4.6,35.58
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-23_sample-0__model.cif,4.59,4.59,35.35
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-23_sample-1__model.cif,4.43,4.75,34.27
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-23_sample-2__model.cif,4.84,4.64,35.8
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-23_sample-3__model.cif,4.66,4.67,33.99
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-23_sample-4__model.cif,4.67,4.63,35.44
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-24_sample-0__model.cif,4.55,4.73,33.95
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-24_sample-1__model.cif,4.65,4.64,35.57
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-24_sample-2__model.cif,4.6,4.68,35.68
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-24_sample-3__model.cif,4.67,4.61,35.73
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-24_sample-4__model.cif,4.51,4.63,34.03
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-25_sample-0__model.cif,4.58,4.58,33.92
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-25_sample-1__model.cif,4.54,4.67,34.13
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-25_sample-2__model.cif,4.61,4.69,33.8
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-25_sample-3__model.cif,4.34,4.59,34.19
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-25_sample-4__model.cif,4.7,4.65,34.24
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-2_sample-0__model.cif,4.68,4.68,34.16
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-2_sample-1__model.cif,4.84,4.69,33.93
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-2_sample-2__model.cif,4.55,4.6,35.55
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-2_sample-3__model.cif,4.75,4.66,35.55
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-2_sample-4__model.cif,4.66,4.62,34.24
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-3_sample-0__model.cif,4.82,4.63,34.1
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-3_sample-1__model.cif,4.66,4.57,35.74
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-3_sample-2__model.cif,4.56,4.73,35.44
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-3_sample-3__model.cif,4.48,4.65,34.04
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-3_sample-4__model.cif,4.73,4.67,34.37
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-4_sample-0__model.cif,4.59,4.69,33.93
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-4_sample-1__model.cif,4.71,4.68,33.96
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-4_sample-2__model.cif,4.64,4.7,35.77
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-4_sample-3__model.cif,4.57,4.66,33.85
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-4_sample-4__model.cif,4.62,4.57,35.63
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-5_sample-0__model.cif,4.73,4.68,35.65
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-5_sample-1__model.cif,4.48,4.66,34.31
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-5_sample-2__model.cif,4.56,4.64,35.61
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-5_sample-3__model.cif,4.4,4.59,35.6
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-5_sample-4__model.cif,4.48,4.67,35.73
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-6_sample-0__model.cif,4.45,4.64,35.69
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-6_sample-1__model.cif,4.53,4.56,35.54
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-6_sample-2__model.cif,4.67,4.61,35.93
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-6_sample-3__model.cif,4.9,4.67,35.7
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-6_sample-4__model.cif,4.59,4.66,35.61
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-7_sample-0__model.cif,4.42,4.58,34.11
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-7_sample-1__model.cif,4.58,4.57,34.15
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-7_sample-2__model.cif,4.3,4.62,35.28
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-7_sample-3__model.cif,4.43,4.62,35.81
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-7_sample-4__model.cif,4.71,4.6,34.29
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-8_sample-0__model.cif,4.68,4.6,35.71
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-8_sample-1__model.cif,4.86,4.67,34.16
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-8_sample-2__model.cif,4.61,4.68,34.24
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-8_sample-3__model.cif,4.57,4.56,33.95
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-8_sample-4__model.cif,4.51,4.55,34.35
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-9_sample-0__model.cif,4.46,4.64,35.67
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-9_sample-1__model.cif,4.43,4.6,34.25
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-9_sample-2__model.cif,4.66,4.63,35.53
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-9_sample-3__model.cif,4.55,4.66,33.88
uba1_aden_ub76_no_ube2w,uba1_aden_ub76_no_ube2w__seed-9_sample-4__model.cif,4.55,4.63,34.31
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-10_sample-0__model.cif,4.65,4.75,35.07
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-10_sample-1__model.cif,4.31,4.64,33.48
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-10_sample-2__model.cif,4.59,4.66,34.56
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-10_sample-3__model.cif,4.41,4.66,34.55
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-10_sample-4__model.cif,4.72,4.63,34.63
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-11_sample-0__model.cif,4.61,4.69,33.8
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-11_sample-1__model.cif,4.65,4.66,35.29
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-11_sample-2__model.cif,4.58,4.72,33.39
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-11_sample-3__model.cif,4.51,4.61,35.17
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-11_sample-4__model.cif,4.51,4.56,33.85
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-12_sample-0__model.cif,4.79,4.61,34.1
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-12_sample-1__model.cif,4.53,4.66,34.67
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-12_sample-2__model.cif,4.6,4.66,33.52
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-12_sample-3__model.cif,4.71,4.67,33.7
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-12_sample-4__model.cif,4.54,4.65,28.82
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-13_sample-0__model.cif,4.71,4.64,33.21
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-13_sample-1__model.cif,4.77,4.63,32.59
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-13_sample-2__model.cif,4.46,4.61,33.83
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-13_sample-3__model.cif,4.89,4.63,34.9
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-13_sample-4__model.cif,4.52,4.68,35.1
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-14_sample-0__model.cif,4.76,4.65,33.63
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-14_sample-1__model.cif,4.72,4.72,35.17
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-14_sample-2__model.cif,4.76,4.63,35.32
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-14_sample-3__model.cif,4.64,4.59,35.21
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-14_sample-4__model.cif,4.72,4.61,35.34
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-15_sample-0__model.cif,4.44,4.67,35.61
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-15_sample-1__model.cif,4.35,4.63,34.32
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-15_sample-2__model.cif,4.59,4.61,34.3
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-15_sample-3__model.cif,4.73,4.67,34.54
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-15_sample-4__model.cif,4.51,4.68,33.88
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-16_sample-0__model.cif,4.64,4.73,34.64
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-16_sample-1__model.cif,4.73,4.66,33.52
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-16_sample-2__model.cif,4.89,4.66,35.24
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-16_sample-3__model.cif,4.76,4.65,34.69
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-16_sample-4__model.cif,4.45,4.67,35.0
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-17_sample-0__model.cif,4.69,4.69,35.26
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-17_sample-1__model.cif,4.66,4.65,35.01
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-17_sample-2__model.cif,4.55,4.67,35.78
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-17_sample-3__model.cif,4.83,4.72,35.48
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-17_sample-4__model.cif,4.54,4.65,34.52
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-18_sample-0__model.cif,4.56,4.56,34.72
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-18_sample-1__model.cif,4.48,4.73,33.54
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-18_sample-2__model.cif,4.42,4.68,34.79
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-18_sample-3__model.cif,4.7,4.6,35.24
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-18_sample-4__model.cif,4.65,4.63,34.61
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-19_sample-0__model.cif,4.62,4.56,35.0
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-19_sample-1__model.cif,4.58,4.65,34.29
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-19_sample-2__model.cif,4.59,4.67,34.01
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-19_sample-3__model.cif,4.5,4.68,33.44
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-19_sample-4__model.cif,4.6,4.69,34.85
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-1_sample-0__model.cif,4.31,4.6,33.2
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-1_sample-1__model.cif,4.6,4.66,35.15
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-1_sample-2__model.cif,4.41,4.6,34.24
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-1_sample-3__model.cif,4.66,4.67,35.49
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-1_sample-4__model.cif,4.59,4.64,35.67
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-20_sample-0__model.cif,4.58,4.56,34.87
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-20_sample-1__model.cif,4.79,4.62,35.33
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-20_sample-2__model.cif,4.75,4.59,35.26
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-20_sample-3__model.cif,4.76,4.67,34.87
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-20_sample-4__model.cif,4.34,4.8,34.43
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-21_sample-0__model.cif,4.6,4.64,33.61
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-21_sample-1__model.cif,5.08,4.82,35.5
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-21_sample-2__model.cif,4.31,4.61,34.35
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-21_sample-3__model.cif,4.38,4.66,35.29
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-21_sample-4__model.cif,4.66,4.57,34.54
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-22_sample-0__model.cif,4.48,4.66,33.67
uba1_aden_ub76_with_ube2w,uba1_aden_ub76_with_ube2w__seed-22_sample-1__model.cif,4.43,4.65,34.67
