job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-15_sample-4__model.cif,7.76,4.36,30.95
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-16_sample-0__model.cif,7.64,4.18,31.5
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-16_sample-1__model.cif,7.73,4.17,31.48
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-16_sample-2__model.cif,7.7,4.19,32.23
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-16_sample-3__model.cif,7.7,4.3,31.75
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-16_sample-4__model.cif,7.71,4.27,32.39
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-17_sample-0__model.cif,7.77,4.28,31.34
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-17_sample-1__model.cif,7.72,4.3,30.58
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-17_sample-2__model.cif,7.76,4.31,31.86
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-17_sample-3__model.cif,7.7,4.33,31.01
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-17_sample-4__model.cif,7.63,4.12,31.29
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-18_sample-0__model.cif,7.52,4.1,31.83
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-18_sample-1__model.cif,7.79,4.31,30.38
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-18_sample-2__model.cif,7.67,4.31,32.06
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-18_sample-3__model.cif,7.64,4.1,32.26
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-18_sample-4__model.cif,7.76,4.22,31.65
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-19_sample-0__model.cif,7.66,4.17,32.17
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-19_sample-1__model.cif,7.61,4.13,31.56
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-19_sample-2__model.cif,7.67,4.13,31.3
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-19_sample-3__model.cif,7.65,4.27,30.64
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-19_sample-4__model.cif,7.73,4.16,31.85
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-1_sample-0__model.cif,7.64,4.26,30.66
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-1_sample-1__model.cif,7.53,4.18,32.42
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-1_sample-2__model.cif,7.58,4.17,31.41
